case_id,week,weight,state,metro,region,division,ownhome,marital,employ,hhnum,adults,kids1217,kids611,kids06,parent,age,age2,educ2,educ,income,race,partyrot,party,ideorot,ideo,regvote,othtel,sex,ident,l1,l2a,c1,c2,c1a,usborn,relig,religopen,denom,denomopen,born,jewid,secular,jdenom,year,demh1,demh2,date,sexorient_1,sexorient_2,sexorient_3,sexorient_4,sexorient_5,formrot,q1,q2,q3rot,q3,q4rot,q4,q5rot,q5,q5ot,q6rot,q6a,q6b,q6c,q6d,q6e,q6f,partyln,partyst1,partyst2,q7,q8,q9,q10,q11,q12,q13rot,q13,q14rot,q14a,q14b,q14c,q14d,q15,q16,q17rot,q17a,q17c,q17b,q17d,q17e,q17f,q17g,q17h,q18,q19,q20,q20ot,q21,q22rot,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q23,q24,q25rot,q25
11000087,842,0.9952,MI,NA,North Central,East North Central,Rented,"Single, that is never married",Full-time,One,One,NA,NA,NA,No,43,NA,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Graduate school or more,"$100,000 to under $150,000",Black Non-Hispanic,Democrat/Republican,An Independent,d3 5-1 asked,Very liberal,Yes,Cell phone household only,Male,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,NA,Nothing in particular,              ,NA,                   ,NA,No,"Secular, not religious",NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Most of the time,Strongly disapprove,2,President Trump could do something to win my approval,NA,NA,2,Worried,                  ,EDF,NA,NA,NA,Lower priority,Lower priority,Highest priority,Democrat,NA,NA,Very favorable,Misguided but not dangerous,NA,Pose a serious threat,NA,NA,democratic/republican,The Democratic candidate,BACD,Somewhat well,Not too well,Very well,Not too well,Help not at all,Don't feel that way,FCGDHEAB,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Strongly oppose,Favor,Strongly oppose,Oppose,Not at all worried,Don't know/Refused,Racism,                                                  ,Trying to report news accurately,BGDFECA,Completely Agree,Mostly disagree,Completely Agree,Completely disagree,Mostly disagree,Completely disagree,Completely Agree,More trade restrictions,Broader pattern,2,Having a mix of different cultures and values from around the world
11000088,842,2.3937,NY,Surburban (Metro),North East,Mid Atlantic,Rented,Married,Full-time,Two,Two,NA,NA,NA,No,21,NA,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,"$50,000 but less than $75,000",White Non-Hispanic,Republican/Democrat,A Republican,d3 1-5 asked,Somewhat conservative,Yes,Cell phone household only,Male,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,NA,Jewish/Judaism,              ,NA,                   ,NA,NA,NA,Orthodox,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Always,Strongly approve,NA,NA,1,There's almost nothing President Trump could do to lose my approval,5,Excited,                  ,FDE,NA,NA,NA,High but not highest,Highest priority,Lower priority,NA,Strong Republican,NA,Mostly favorable,Pose a serious threat,NA,Right direction,Supporter of Donald Trump,Prefer Trump be the nominee,republican/democratic,Don't know/Refused,CADB,Very well,Very well,Somewhat well,Very well,Help a lot,Don't feel that way,GHCFDAEB,Oppose,Strongly oppose,Oppose,Favor,Strongly favor,Oppose,Favor,Strongly favor,Not at all worried,Better off,Southern pride,                                                  ,Personal or political agenda,BEFCDAG,Completely disagree,Completely Agree,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,Mostly disagree,More trade restrictions,Isolated incidents,1,Having a mix of different cultures and values from around the world
11000089,842,0.8442,IN,Center City (Metro),North Central,East North Central,Owned,"Single, that is never married",Full-time,One,One,NA,NA,NA,No,37,NA,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Graduated college,"$40,000 but less than $50,000",White Non-Hispanic,Republican/Democrat,An Independent,d3 1-5 asked,Somewhat conservative,Yes,Cell phone household only,Male,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,NA,Agnostic,              ,NA,                   ,NA,No,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,About half the time,Somewhat disapprove,1,President Trump could do something to win my approval,NA,NA,5,Disappointed,                  ,DFE,NA,NA,NA,Lower priority,Highest priority,High but not highest,Republican,NA,NA,Mostly unfavorable,Misguided but not dangerous,NA,Pose a serious threat,Supporter of another Republican candidate,Prefer someone else,republican/democratic,The Republican candidate,CDBA,Not at all well,Not at all well,Very well,Not at all well,Help not at all,Don't feel that way,GDFHBACE,Strongly favor,Favor,Oppose,Strongly oppose,Oppose,Strongly favor,Strongly oppose,Favor,Not too worried,Worse off,Southern pride,                                                  ,Trying to report news accurately,GBCEFDA,Mostly agree,Mostly disagree,Mostly agree,Completely disagree,Mostly agree,Completely disagree,Mostly disagree,Promote free trade,Broader pattern,1,Having a mix of different cultures and values from around the world
11000090,842,1.3257,VA,Surburban (Metro),South,South Atlantic,Rented,Married,Full-time,Four,Four,NA,NA,NA,No,54,NA,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,"$40,000 but less than $50,000",White Non-Hispanic,Democrat/Republican,A Democrat,d3 5-1 asked,Somewhat liberal,Yes,One,Male,Cell Phone sample,NA,NA,"Yes, has a home telephone",NA,Don't Know,NA,Protestant,              ,Don't know,                   ,Yes,NA,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Never,Somewhat approve,NA,NA,2,President Trump could do something to lose my approval,5,Satisfied,                  ,FED,NA,NA,NA,Highest priority,High but not highest,Lower priority,NA,NA,Strong Democrat,Mostly favorable,Right direction,NA,Right direction,NA,NA,democratic/republican,The Democratic candidate,ADBC,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Help a little,Don't feel that way,EFCHGADB,Favor,Favor,Oppose,Strongly favor,Strongly favor,Strongly oppose,Favor,Strongly favor,Not at all worried,Would not make any difference,Southern pride,                                                  ,Personal or political agenda,GAFDBCE,Mostly agree,Completely Agree,Completely Agree,Mostly disagree,Completely Agree,Completely Agree,Completely Agree,More trade restrictions,Don't know/Refused,2,Having a single culture grounded in Christian values
11000091,842,0.9849,OH,Center City (Metro),North Central,East North Central,Owned,"Single, living with a partner",Full-time,Two,One,None,None,One,Yes,25,NA,"Some college, no degree (includes community college)",Some college,"$25,000 but less than $30,000",Black Non-Hispanic,Republican/Democrat,A Democrat,d3 1-5 asked,Somewhat liberal,Yes,None,Female,Cell Phone sample,NA,NA,"Yes, has a home telephone",NA,1,NA,Christian (Just Christian),              ,Baptist,                   ,Yes,NA,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Some of the time,Strongly disapprove,1,There's almost nothing President Trump could do to win my approval,NA,NA,1,Worried,                  ,DFE,NA,NA,NA,High but not highest,High but not highest,Lower priority,NA,NA,Strong Democrat,Very unfavorable,Right direction,NA,Pose a serious threat,NA,NA,republican/democratic,The Democratic candidate,ACDB,Not too well,Not at all well,Very well,Not at all well,Help not at all,Should be impeached,AHGEBDFC,Favor,Favor,Strongly oppose,Strongly oppose,Strongly oppose,Favor,Oppose,Strongly favor,Somewhat worried,Worse off,Southern pride,                                                  ,Personal or political agenda,EFBACDG,Mostly agree,Completely Agree,Completely Agree,Mostly disagree,Completely disagree,Mostly disagree,Mostly agree,Promote free trade,Isolated incidents,1,Having a mix of different cultures and values from around the world
11000092,842,0.2811,TN,Center City (Metro),South,East South Central,Owned,Divorced,Full-time,One,One,NA,NA,NA,No,54,NA,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Graduated college,"$250,000 or more",White Non-Hispanic,Republican/Democrat,An Independent,d3 1-5 asked,Moderate,Yes,None,Male,Cell Phone sample,NA,NA,"Yes, has a home telephone",NA,3,NA,"Catholic, Roman Catholic",              ,NA,                   ,NA,NA,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Most of the time,Somewhat disapprove,1,President Trump could do something to win my approval,NA,NA,3,Angry,                  ,EDF,NA,NA,NA,Highest priority,High but not highest,High but not highest,Republican,NA,NA,Mostly unfavorable,Misguided but not dangerous,NA,Misguided but not dangerous,Supporter of another Republican candidate,Prefer someone else,republican/democratic,The Republican candidate,DBCA,Not at all well,Not at all well,Not at all well,Not at all well,Help a little,Don't feel that way,HGADCBEF,Favor,Favor,Oppose,Strongly oppose,Strongly oppose,Favor,Strongly oppose,Strongly oppose,Not at all worried,Would not make any difference,Southern pride,                                                  ,Trying to report news accurately,FGBCAED,Completely Agree,Completely disagree,Mostly disagree,Completely disagree,Completely disagree,Completely disagree,Completely disagree,Promote free trade,Broader pattern,1,Having a mix of different cultures and values from around the world
11000093,842,0.6558,NY,Center City County (Metro),North East,Mid Atlantic,Owned,"Single, that is never married",Full-time,Two,Two,NA,NA,NA,No,53,NA,"Some college, no degree (includes community college)",Some college,"$30,000 but less than $40,000",White Non-Hispanic,Democrat/Republican,An Independent,d3 5-1 asked,Moderate,Yes,None,Male,Cell Phone sample,NA,NA,"Yes, has a home telephone",NA,1,NA,Methodist,              ,NA,                   ,No,NA,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Most of the time,Strongly approve,NA,NA,2,President Trump could do something to lose my approval,4,Excited,                  ,EDF,NA,NA,NA,High but not highest,High but not highest,Lower priority,Neither,NA,NA,Very favorable,Pose a serious threat,NA,Right direction,NA,NA,democratic/republican,Other/Third Party candidate,DABC,Very well,Very well,Don't know/Refused,Very well,Help a lot,Don't feel that way,DAGCBFHE,Strongly favor,Favor,Favor,Strongly favor,Strongly favor,Favor,Don't know/Refused,Strongly favor,Not at all worried,Better off,Southern pride,                                                  ,Personal or political agenda,BEFGCAD,Completely disagree,Completely disagree,Mostly agree,Completely disagree,Completely disagree,Don't know/Refused,Completely disagree,Don't know/Refused,Broader pattern,2,Having a mix of different cultures and values from around the world
11000094,842,1.3853,NC,Center City County (Metro),South,South Atlantic,Rented,Divorced,Full-time,One,One,NA,NA,NA,No,41,NA,Two year associate degree from a college or university,Some college,"$50,000 but less than $75,000",White Non-Hispanic,Democrat/Republican,A Republican,d3 5-1 asked,Somewhat conservative,No,Cell phone household only,Male,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,NA,Baptist,              ,NA,                   ,Yes,NA,NA,NA,17,"No, not covered by health insurance",NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Some of the time,Strongly approve,NA,NA,2,President Trump could do something to lose my approval,4,Excited,                  ,DEF,NA,NA,NA,Highest priority,High but not highest,Lower priority,NA,Not a strong Republican,NA,Very favorable,Pose a serious threat,NA,Right direction,Supporter of another Republican candidate,Prefer Trump be the nominee,democratic/republican,The Republican candidate,BACD,Very well,Very well,Somewhat well,Very well,Help a little,Don't feel that way,FABDCHEG,Favor,Favor,Favor,Strongly favor,Strongly favor,Strongly favor,Favor,Strongly favor,Not at all worried,Better off,Southern pride,                                                  ,Personal or political agenda,BDEACFG,Completely disagree,Completely disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Completely disagree,Promote free trade,Isolated incidents,2,Having a mix of different cultures and values from around the world
11000095,842,0.884,NJ,Non-Center City (Metro),North East,Mid Atlantic,Owned,Widowed,Retired,One,One,NA,NA,NA,No,81,NA,High school graduate (Grade 12 with diploma or GED certificate),High school graduate,"Less than $15,000",White Hispanic,Democrat/Republican,An Independent,d3 5-1 asked,Somewhat conservative,Yes,Cell phone household only,Male,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,United States,Protestant,              ,Methodist,                   ,No,NA,NA,NA,17,NA,NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Some of the time,Somewhat disapprove,2,Don't know/refused,NA,NA,4,Angry,                  ,FED,NA,NA,NA,Highest priority,Highest priority,Highest priority,Don't know,NA,NA,Very unfavorable,Misguided but not dangerous,NA,Pose a serious threat,NA,NA,democratic/republican,The Republican candidate,DABC,Somewhat well,Not at all well,Not at all well,Don't know/Refused,Help not at all,Should be impeached,DEGAFCHB,Favor,Don't know/Refused,Favor,Oppose,Oppose,Favor,Oppose,Strongly oppose,Not at all worried,Would not make any difference,Don't know/Refused,                                                  ,Don't know/Refused,ECBFGAD,Mostly agree,Mostly agree,Completely disagree,Completely disagree,Completely Agree,Completely Agree,Completely Agree,Promote free trade,Don't know/Refused,2,Having a single culture grounded in Christian values
11000096,842,0.9904,MA,Center City (Metro),North East,New England,Rented,Widowed,Full-time,Two,Two,NA,NA,NA,No,48,NA,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Graduated college,"$40,000 but less than $50,000",White Non-Hispanic,Republican/Democrat,A Democrat,d3 1-5 asked,Somewhat liberal,Yes,Cell phone household only,Male,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,NA,"Catholic, Roman Catholic",              ,NA,                   ,NA,NA,NA,NA,17,"No, not covered by health insurance",NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Always,Strongly disapprove,1,There's almost nothing President Trump could do to win my approval,NA,NA,3,Worried,                  ,EFD,NA,NA,NA,Lower priority,Highest priority,Highest priority,NA,NA,Not a strong Democrat,Mostly unfavorable,Right direction,NA,Misguided but not dangerous,NA,NA,republican/democratic,The Democratic candidate,BCDA,Not too well,Not at all well,Not too well,Not too well,Help not at all,Don't feel that way,FBEDCGAH,Strongly favor,Strongly favor,Strongly oppose,Favor,Favor,Strongly oppose,Strongly oppose,Strongly oppose,Very worried,Worse off,Southern pride,                                                  ,Trying to report news accurately,FGCBDAE,Completely Agree,Mostly agree,Completely Agree,Completely disagree,Mostly agree,Completely Agree,Mostly agree,More trade restrictions,Broader pattern,1,Having a mix of different cultures and values from around the world
11000097,842,0.8615,VA,NA,South,South Atlantic,Rented,"Single, living with a partner",Full-time,Seven,Five,None,One,One,Yes,Refused,30-49,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Graduate school or more,"$100,000 to under $150,000",Mixed,Democrat/Republican,Refused,d3 5-1 asked,Somewhat liberal,Yes,Refused,Male,Cell Phone sample,NA,NA,"Yes, has a home telephone",NA,Refused,NA,Hindu,              ,NA,                   ,NA,NA,NA,NA,17,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Always,Strongly disapprove,2,There's almost nothing President Trump could do to win my approval,NA,NA,1,Disappointed,                  ,DFE,NA,NA,NA,High but not highest,Highest priority,Highest priority,Democrat,NA,NA,Very unfavorable,Right direction,NA,Pose a serious threat,NA,NA,democratic/republican,The Democratic candidate,CBDA,Not at all well,Not at all well,Very well,Not at all well,Help not at all,Should be impeached,CBGAEFHD,Strongly favor,Strongly favor,Strongly oppose,Oppose,Oppose,Favor,Oppose,Oppose,Very worried,Worse off,Racism,                                                  ,Trying to report news accurately,EACFDBG,Completely Agree,Mostly disagree,Mostly agree,Completely disagree,Completely disagree,Completely disagree,Mostly agree,Promote free trade,Broader pattern,2,Having a mix of different cultures and values from around the world
11000098,842,0.3021,FL,Center City (Metro),South,South Atlantic,Owned,Married,Retired,Two,Two,NA,NA,NA,No,81,NA,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Graduate school or more,"$100,000 to under $150,000",White Non-Hispanic,Republican/Democrat,A Republican,d3 1-5 asked,Moderate,Yes,Two,Male,Cell Phone sample,NA,NA,"Yes, has a home telephone",NA,2,NA,Protestant,              ,Presbyterian,                   ,Yes,NA,NA,NA,17,NA,NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Always,Somewhat disapprove,1,President Trump could do something to win my approval,NA,NA,4,Disappointed,                  ,FED,NA,NA,NA,High but not highest,High but not highest,High but not highest,NA,Not a strong Republican,NA,Mostly unfavorable,Misguided but not dangerous,NA,Pose a serious threat,Supporter of another Republican candidate,Prefer someone else,republican/democratic,The Republican candidate,CABD,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Help a little,Don't feel that way,GDAHFECB,Strongly favor,Strongly oppose,Oppose,Strongly oppose,Favor,Favor,Oppose,Oppose,Not too worried,Would not make any difference,Racism,                                                  ,Personal or political agenda,AFDGEBC,Mostly disagree,Completely disagree,Mostly disagree,Completely disagree,Mostly disagree,Mostly disagree,Mostly disagree,More trade restrictions,Broader pattern,1,Having a mix of different cultures and values from around the world
11000099,842,4,GA,Surburban (Metro),South,South Atlantic,Owned,Married,Part-time,Six,Five,One,None,None,Yes,41,NA,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Less than high school graduate,"$15,000 but less than $25,000",Unspecified Hispanic,Republican/Democrat,A Republican,d3 1-5 asked,Very conservative,Yes,Cell phone household only,Female,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,Another Country,Seventh-Day Adventist,              ,NA,                   ,Yes,NA,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Some of the time,Don't know/refused,NA,NA,NA,NA,3,Worried,                  ,FED,NA,NA,NA,Highest priority,High but not highest,Don't know/refused,NA,Not a strong Republican,NA,Mostly unfavorable,Misguided but not dangerous,NA,Misguided but not dangerous,No strong preference,Prefer someone else,republican/democratic,Don't know/Refused,DCBA,Very well,Somewhat well,Somewhat well,Not too well,Help not at all,Don't feel that way,DEGCHFAB,Oppose,Oppose,Favor,Favor,Oppose,Strongly favor,Oppose,Strongly favor,Not at all worried,Would not make any difference,Southern pride,                                                  ,Don't know/Refused,DBAFGCE,Completely Agree,Completely disagree,Mostly agree,Completely disagree,Mostly disagree,Completely Agree,Completely disagree,Promote free trade,Broader pattern,1,Having a single culture grounded in Christian values
11000100,842,1.8743,NY,Center City (Metro),North East,Mid Atlantic,Owned,Married,Full-time,Two,Two,NA,NA,NA,No,30,NA,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Graduate school or more,"$75,000 but less than $100,000",White Hispanic,Democrat/Republican,A Democrat,d3 5-1 asked,Somewhat liberal,Yes,Cell phone household only,Female,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,United States,"Catholic, Roman Catholic",              ,NA,                   ,NA,NA,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 1,Most of the time,Strongly disapprove,2,There's almost nothing President Trump could do to win my approval,NA,NA,5,Worried,                  ,BCA,Lower priority,Highest priority,High but not highest,NA,NA,NA,NA,NA,Not a strong Democrat,Very unfavorable,Right direction,Misguided but not dangerous,NA,NA,NA,democratic/republican,Don't know/Refused,DACB,Not too well,Not too well,Very well,Not at all well,Help not at all,Should be impeached,DBCEHFAG,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Oppose,Strongly favor,Oppose,Favor,Somewhat worried,Worse off,Racism,                                                  ,Personal or political agenda,GCDBEAF,Completely Agree,Mostly disagree,Completely Agree,Completely disagree,Mostly disagree,Completely disagree,Mostly agree,More trade restrictions,Isolated incidents,2,Having a mix of different cultures and values from around the world
11000101,842,0.25,CO,Center City (Metro),West,Mountain,Owned,Widowed,Retired,Two,Two,NA,NA,NA,No,80,NA,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Graduated college,"$100,000 to under $150,000",White Non-Hispanic,Republican/Democrat,An Independent,d3 1-5 asked,Moderate,Yes,Two,Male,Cell Phone sample,NA,NA,"Yes, has a home telephone",NA,1,NA,"Catholic, Roman Catholic",              ,NA,                   ,NA,NA,NA,NA,17,NA,NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Always,Strongly disapprove,1,There's almost nothing President Trump could do to win my approval,NA,NA,2,Worried,                  ,FED,NA,NA,NA,Lower priority,High but not highest,High but not highest,Neither,NA,NA,Very unfavorable,Right direction,NA,Pose a serious threat,NA,NA,republican/democratic,Other/Third Party candidate,DBCA,Not too well,Not at all well,Very well,Not at all well,Help a little,Don't feel that way,DEFACHBG,Favor,Strongly oppose,Oppose,Strongly oppose,Strongly oppose,Favor,Strongly oppose,Strongly oppose,Very worried,Worse off,Racism,                                                  ,Trying to report news accurately,BDAEFCG,Completely Agree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Completely Agree,Promote free trade,Broader pattern,1,Having a mix of different cultures and values from around the world
11000102,842,0.9092,FL,Center City County (Metro),South,South Atlantic,Owned,Married,Retired,Two,Two,NA,NA,NA,No,68,NA,Two year associate degree from a college or university,Some college,"$100,000 to under $150,000",White Non-Hispanic,Republican/Democrat,A Republican,d3 1-5 asked,Somewhat conservative,Yes,None,Male,Cell Phone sample,NA,NA,"Yes, has a home telephone",NA,1,NA,"Catholic, Roman Catholic",              ,NA,                   ,NA,NA,NA,NA,17,NA,NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Always,Strongly approve,NA,NA,1,There's almost nothing President Trump could do to lose my approval,3,Satisfied,                  ,FDE,NA,NA,NA,Highest priority,High but not highest,Lower priority,NA,Not a strong Republican,NA,Mostly favorable,Misguided but not dangerous,NA,Right direction,Supporter of Donald Trump,Prefer Trump be the nominee,republican/democratic,The Republican candidate,CBDA,Somewhat well,Very well,Very well,Somewhat well,Help a lot,Don't feel that way,GABDFHCE,Favor,Favor,Oppose,Favor,Strongly favor,Favor,Favor,Strongly favor,Not at all worried,Would not make any difference,Southern pride,                                                  ,Personal or political agenda,CFDBGEA,Mostly disagree,Mostly agree,Mostly disagree,Mostly disagree,Mostly disagree,Completely Agree,Mostly agree,More trade restrictions,Broader pattern,1,Having a single culture grounded in Christian values
11000103,842,2.1541,VA,NA,South,South Atlantic,Rented,"Single, that is never married",Full-time,Three,Three,NA,NA,NA,No,34,NA,"Some college, no degree (includes community college)",Some college,"$40,000 but less than $50,000",White Non-Hispanic,Democrat/Republican,A Democrat,d3 5-1 asked,Somewhat liberal,Yes,Cell phone household only,Female,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,NA,Atheist,              ,NA,                   ,NA,No,NA,NA,17,"Yes, covered by health insurance",Plan through your or your spouse's employer,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 1,About half the time,Somewhat disapprove,2,President Trump could do something to win my approval,NA,NA,3,Disappointed,                  ,ACB,Lower priority,Highest priority,High but not highest,NA,NA,NA,NA,NA,Not a strong Democrat,Mostly unfavorable,Right direction,Misguided but not dangerous,NA,NA,NA,democratic/republican,The Democratic candidate,BCDA,Not too well,Not too well,Very well,Not too well,Help not at all,Don't feel that way,BEDHFACG,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Oppose,Oppose,Oppose,Oppose,Not too worried,Would not make any difference,Don't know/Refused,                                                  ,Trying to report news accurately,FDEGBAC,Mostly agree,Completely Agree,Mostly agree,Mostly agree,Mostly disagree,Mostly disagree,Mostly agree,Promote free trade,Isolated incidents,2,Having a mix of different cultures and values from around the world
11000104,842,0.5447,FL,Center City (Metro),South,South Atlantic,Owned,"Single, that is never married",Full-time,Three,Three,NA,NA,NA,No,27,NA,"Some college, no degree (includes community college)",Some college,"$50,000 but less than $75,000",Unspecified Hispanic,Republican/Democrat,An Independent,d3 1-5 asked,Moderate,Yes,Cell phone household only,Male,Cell Phone sample,NA,NA,"No, no home telephone",NA,7,United States,Nothing in particular,              ,NA,                   ,NA,No,"Spiritual, not religious",NA,17,"No, not covered by health insurance",NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 2,Never,Somewhat disapprove,1,President Trump could do something to win my approval,NA,NA,3,Worried,                  ,FED,NA,NA,NA,Highest priority,Highest priority,Highest priority,Democrat,NA,NA,Very unfavorable,Misguided but not dangerous,NA,Pose a serious threat,NA,NA,republican/democratic,The Democratic candidate,ABDC,Not at all well,Not at all well,Very well,Not at all well,Help not at all,Should be impeached,EBADFGCH,Favor,Favor,Oppose,Oppose,Oppose,Favor,Favor,Oppose,Very worried,Worse off,Racism,                                                  ,Personal or political agenda,BEGDCFA,Mostly agree,Mostly agree,Mostly agree,Completely disagree,Completely disagree,Mostly disagree,Completely Agree,Promote free trade,Broader pattern,1,Having a mix of different cultures and values from around the world
11000105,842,2.0534,MS,Non-Metro,South,East South Central,Owned,Widowed,Disabled/Handicapped,One,One,NA,NA,NA,No,55,NA,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Less than high school graduate,"Less than $15,000",Black Non-Hispanic,Democrat/Republican,An Independent,d3 5-1 asked,Very conservative,Yes,Cell phone household only,Male,Cell Phone sample,NA,NA,"No, no home telephone",NA,1,NA,Baptist,              ,NA,                   ,Yes,NA,NA,NA,17,"No, not covered by health insurance",NA,171018,Heterosexual or Straight,NOT Gay or Lesbian,NOT Bisexual,NOT Transgender,NOT Refused,Form 1,Always,Strongly disapprove,2,There's almost nothing President Trump could do to win my approval,NA,NA,4,Worried,                  ,BCA,Lower priority,Lower priority,High but not highest,NA,NA,NA,Democrat,NA,NA,Very unfavorable,Misguided but not dangerous,Misguided but not dangerous,NA,NA,NA,democratic/republican,The Democratic candidate,ABDC,Not at all well,Very well,Not at all well,Not at all well,Help not at all,Should be impeached,AHEBDCGF,Favor,Strongly favor,Favor,Strongly oppose,Favor,Strongly oppose,Favor,Favor,Somewhat worried,Worse off,Racism,                                                  ,Trying to report news accurately,GBFCADE,Mostly disagree,Completely Agree,Completely disagree,Mostly disagree,Mostly agree,Completely Agree,Mostly disagree,Promote free trade,Isolated incidents,2,Having a single culture grounded in Christian values
